"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-01",98.68478,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.29529,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-03",97.82571,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-04",97.29639,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-05",96.91635,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-06",96.79684,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.00035,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.25818,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.33438,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.98075,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.72363,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.71616,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.72337,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.69729,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.89961,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.34859,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.73492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-06",97.89487,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-07",97.84957,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-08",97.89334,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.07153,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.10122,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.11528,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-12",98.28973,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-01",98.45145,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",98.50657,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",98.50347,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",98.48304,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",98.48177,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",98.38669,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",98.10214,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",97.9286,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",97.87778,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",97.97624,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",98.23346,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.48421,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.59244,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.5434,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.29991,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.24153,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.22584,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-06",97.91872,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-07",97.34206,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-08",96.84985,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-09",96.78269,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.01426,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.4558,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.00196,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.46758,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.72715,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.85225,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.88731,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.83099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.62479,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.55213,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.72346,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-09",99.04247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.27123,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.1841,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.84728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.71778,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.82166,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.98991,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.20389,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.54519,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.72164,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.68361,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.40026,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.01579,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",98.77809,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",98.87947,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.18591,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.36034,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.43108,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.46362,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.53732,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.52357,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.49691,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.48865,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.58443,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.79069,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0806,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.8309,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.0967,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.0019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.9469,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.866,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8802,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.7648,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.5743,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.4026,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.432,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6466,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.6594,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6212,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.5808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6044,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.7338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7261,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5983,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4928,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3917,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.1988,
